team,date,time,home-away,type,event,site,subsite,result,score,canceled
boys-cross-country-varsity,2023-09-23,9:00 AM,A,Non-League,Manchester Invite,Derryfield Park (Manchester, NH),,,,
boys-golf-varsity,2023-09-26,3:30 PM,H,League,Milton High School,Needham Golf Club,,W,97-91,
coed-field-hockey-middle-school-2,2023-09-26,4:00 PM,H,Game,St. John's Middle School,Pollard Middle School,Field,,,
coed-field-hockey-freshman,2023-09-26,4:00 PM,A,League,Natick High School,Kennedy Middle School,Multipurpose Turf Field,,,
boys-soccer-freshman,2023-09-26,4:00 PM,A,League,Natick High School,Natick High School,#1,,,
girls-soccer-freshman,2023-09-26,4:00 PM,H,League,Natick High School,Cricket Field,Field #1,,,
coed-field-hockey-varsity,2023-09-26,4:00 PM,H,League,Natick High School,DeFazio Complex,Turf #1 Founders,W,5-1,
coed-field-hockey-junior-varsity,2023-09-26,5:15 PM,H,League,Natick High School,DeFazio Complex,Turf #1 Founders,,,
girls-swim-and-dive-varsity,2023-09-26,5:30 PM,A,League,Braintree High School,Blue Hills Regional Technical School,Swimming Pool,W,101-76,
coed-field-hockey-varsity,2023-09-27,3:45 PM,A,Non-League,Medfield High School,Medfield High School,Turf,W,4-0,
boys-soccer-junior-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Walpole SWCAF Complex,Field #2,,,
girls-volleyball-middle-school-gold,2023-09-27,4:00 PM,A,Match,Wilson Middle School (Natick),Wilson Middle School,Gym,,,
coed-field-hockey-middle-school-1,2023-09-27,4:00 PM,A,Game,Wilson Middle School (Natick),Wilson Middle School,,,,
coed-field-hockey-middle-school-2,2023-09-27,4:00 PM,A,Game,Kennedy Middle School (Natick),Kennedy Middle School,,,,
girls-soccer-junior-varsity,2023-09-27,4:00 PM,H,League,Walpole High School,Cricket Field,Field #1,,,
boys-soccer-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Walpole SWCAF Complex,Field #1,W,4-1,
girls-soccer-varsity,2023-09-27,4:00 PM,H,League,Walpole High School,DeFazio Complex,#1,W,4-0,
girls-volleyball-varsity,2023-09-27,4:00 PM,H,League,Walpole High School,Needham High School,A Gym,W,3-0,
boys-cross-country-varsity,2023-09-27,4:00 PM,A,League,Milton High School,Houghton's Pond,XC Course,,,
girls-cross-country-varsity,2023-09-27,4:00 PM,A,League,Milton High School,Houghton's Pond,XC Course,W,15-47,
boys-cross-country-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Houghton's Pond,XC Course,,,
girls-cross-country-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Houghton's Pond,XC Course,W,22-37,
coed-coed-unified-basketball,2023-09-27,4:30 PM,A,League,Newton North High School,Newton North High School,Reggie Gym,,,
coed-field-hockey-junior-varsity,2023-09-27,5:15 PM,A,Non-League,Medfield Senior High School,Medfield High School,Turf,,,
girls-volleyball-junior-varsity,2023-09-27,5:30 PM,H,League,Walpole High School,Needham High School,A Gym,,,
girls-volleyball-freshman,2023-09-27,5:30 PM,H,League,Walpole High School,Needham High School,B Gym,,,
boys-golf-varsity,2023-09-28,3:30 PM,A,League,Milton High School,Milton Hoosic Club,,W,103-93,
cross-country-middle-school,2023-09-28,4:00 PM,H,Meet,Kennedy Middle School (Natick),DeFazio Complex,XC Course,,,
girls-volleyball-middle-school-gold,2023-09-28,4:00 PM,H,Match,Needham 2,Pollard Middle School,Gym,,,
girls-volleyball-middle-school-blue,2023-09-28,4:00 PM,H,Match,Needham 1,Pollard Middle School,Gym,,,
coed-field-hockey-freshman,2023-09-28,4:30 PM,A,Non-League,Lincoln-Sudbury Regional High School,Lincoln-Sudbury Regional High School,Grass Field #3,,,
girls-soccer-junior-varsity,2023-09-29,4:00 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #1 Founders,,,
boys-soccer-freshman,2023-09-29,4:00 PM,H,League,Concord-Carlisle High School,High Rock Middle School,Field,,,TRUE
girls-soccer-freshman,2023-09-29,4:00 PM,H,League,Concord-Carlisle High School,Cricket Field,Field #1,,,TRUE
girls-soccer-varsity,2023-09-29,4:00 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #2 Brock,T,0-0,
coed-field-hockey-middle-school-1,2023-09-29,4:00 PM,H,Game,Wellesley Middle School,Pollard Middle School,Field,,,TRUE
